title,regular_price,sale_price,img_url,href
MYRACK MODULAR POWER RACK,$799.99,$399.99,https://cdn.shopify.com/s/files/1/1963/1339/products/myrack-full-front-left_270x270.jpg?v=1604532391,https://www.forceusa.com/collections/in-stock/products/myrack
MYRACK FOLDING POWER RACK,$999.99,$599.99,https://cdn.shopify.com/s/files/1/1963/1339/products/folding-base-step2_270x270.jpg?v=1624729387,https://www.forceusa.com/collections/in-stock/products/myrack-folding-power-rack
FORCE USA G3 ALL-IN-ONE TRAINER,"$2,599.99","$2,199.99",https://cdn.shopify.com/s/files/1/1963/1339/products/G3-hero_6ee54510-31cd-4807-9a87-e3900cd00533_270x270.jpg?v=1604085531,https://www.forceusa.com/collections/in-stock/products/g3
FORCE USA G6 ALL-IN-ONE TRAINER,"$4,999.99","$4,499.99",https://cdn.shopify.com/s/files/1/1963/1339/products/g6-full-front-left_270x270.jpg?v=1562020408,https://www.forceusa.com/collections/in-stock/products/g6
FORCE USA G9 ALL-IN-ONE TRAINER,"$3,999.99","$3,499.99",https://cdn.shopify.com/s/files/1/1963/1339/products/G9-full-front-left_270x270.jpg?v=1617738773,https://www.forceusa.com/collections/in-stock/products/g9
FORCE USA G20 ALL-IN-ONE TRAINER,"$8,499.99","$5,999.99",https://cdn.shopify.com/s/files/1/1963/1339/products/G20-full-left-front_270x270.jpg?v=1598976305,https://www.forceusa.com/collections/in-stock/products/g20-commercial
G20 ALL-IN-ONE TRAINER - LAT ROW STATION UPGRADE,"$1,499.99",$999.99,https://cdn.shopify.com/s/files/1/1963/1339/products/G20-latpull-withG20_91d2a66d-a7a9-47e7-9b4b-742cec410cdd_270x270.jpg?v=1597428095,https://www.forceusa.com/collections/in-stock/products/g20-lat-row-station-upgrade
FORCE USA COMPACT LEG PRESS,"$1,399.99",$999.99,https://cdn.shopify.com/s/files/1/1963/1339/products/clp-front-left-2_270x270.jpg?v=1621546154,https://www.forceusa.com/collections/in-stock/products/compact-leg-press
COMMERCIAL GLUTE HAM RAISE DEVELOPER,"$1,399.99",$799.99,https://cdn.shopify.com/s/files/1/1963/1339/products/ghr-full-1_270x270.jpg?v=1603310496,https://www.forceusa.com/collections/in-stock/products/commercial-glute-ham-raise-developer
FORCE USA FLAT BENCH,$199.99,$79.99,https://cdn.shopify.com/s/files/1/1963/1339/products/sp1-full_270x270.jpg?v=1613517953,https://www.forceusa.com/collections/in-stock/products/sp1-flat-bench
FORCE USA FID BENCH,$249.99,$179.99,https://cdn.shopify.com/s/files/1/1963/1339/products/sp3-full_270x270.jpg?v=1613510601,https://www.forceusa.com/collections/in-stock/products/fid-bench
FORCE USA LIGHT COMMERCIAL FLAT BENCH,$379.99,$169.99,https://cdn.shopify.com/s/files/1/1963/1339/products/FB01-side1_63900a64-8d21-475a-a520-e0d5b6585883_270x270.jpg?v=1611703053,https://www.forceusa.com/collections/in-stock/products/light-commercial-flat-bench
FORCE USA HEAVY DUTY COMMERCIAL FLAT BENCH,$399.99,$249.99,https://cdn.shopify.com/s/files/1/1963/1339/products/FB02-V2-frontright_270x270.jpg?v=1611711583,https://www.forceusa.com/collections/in-stock/products/heavy-duty-commercial-flat-bench
FORCE USA COMMERCIAL FID BENCH,$499.99,$449.99,https://cdn.shopify.com/s/files/1/1963/1339/products/comfid-hero_270x270.jpg?v=1589496649,https://www.forceusa.com/collections/in-stock/products/commercial-fid-bench
VERSAFIT FLOORING,$49.99,$44.99,https://cdn.shopify.com/s/files/1/1963/1339/products/flooring-full-metric_270x270.jpg?v=1621873434,https://www.forceusa.com/collections/in-stock/products/versafit-rubber-flooring-tiles
FORCE USA PRO GRADE COLORED BUMPER PLATES (LBS),$524.97,$69.99,https://cdn.shopify.com/s/files/1/1963/1339/products/Pro-Grade-Bumbers-lbs_270x270.jpg?v=1603744940,https://www.forceusa.com/collections/in-stock/products/force-usa-pro-grade-colored-bumper-plates-lbs
