title,regular_price,sale_price,img_url,href
FB-3000 Flat Bench,$149.99,$119.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_BP-3000-55-thumbnail_350x350.jpg?v=1636471671,https://repfitness.com/collections/deals/products/fb-3000-flat-bench
Kettlebells (kg),$39.99,$14.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-V2-Kettlebells-24kg_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471686,https://repfitness.com/collections/deals/products/kettlebells-kg
Urethane Coated Equalizers,$25.99,$20.79,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Cyan_WP-5200-02-Thumbnail_350x350.jpg?v=1636471682,https://repfitness.com/collections/deals/products/urethane-coated-equalizers
Dumbbell Rack,$179.99,$143.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-DumbbellRack-Metallic_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471674,https://repfitness.com/collections/deals/products/dumbbell-rack
Rubber Hex Dumbbell Pairs,$239.99,$15.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_HexDumbells-Thumbnail_350x350.jpg?v=1636471685,https://repfitness.com/collections/deals/products/rubber-hex-dumbbell-pairs
Sandbags,$39.99,$31.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-Sandbags_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471685,https://repfitness.com/collections/deals/products/sandbags
Sabre Bar,$199.99,$179.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_BB-3000-15-Thumbnail_350x350.jpg?v=1636400471,https://repfitness.com/collections/deals/products/sabre-bar
Dip Attachment,$79.99,$75.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-PRA-5202_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471668,https://repfitness.com/collections/deals/products/dip-attachment
V2 Medicine Balls,$79.99,$42.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-Med-Ball_BlackFriday21-Yellow-Thumbnail_350x350.jpg?v=1636471685,https://repfitness.com/collections/deals/products/v2-medicine-balls
Bar and Bumper Plate Tree,$169.99,$161.49,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Cyan_WS-3000-Thumbnail_350x350.jpg?v=1636471677,https://repfitness.com/collections/deals/products/bar-and-bumper-plate-tree
V2 Slam Balls,$39.99,$19.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-SB-3000-3_BlackFriday21-Yellow-Thumbnail_350x350.jpg?v=1636471670,https://repfitness.com/collections/deals/products/slam-balls
V3 Kettlebells,$45.99,$36.79,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_CyanV3Kettlebell-Thumbnail_350x350.jpg?v=1636471681,https://repfitness.com/collections/deals/products/v3-kettlebells
Kettlebells (lb),$49.99,$19.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-V2-Kettlebells-24kg_BlackFriday21-Yellow-Thumbnail_350x350.jpg?v=1636471676,https://repfitness.com/collections/deals/products/kettlebells-lb
EZ Curl Barbell,$269.99,$149.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_BB-4400-SS-Thumbnail_350x350.jpg?v=1636471679,https://repfitness.com/collections/deals/products/ez-curl-barbell
Rackable EZ Curl Barbell,$199.99,$189.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_BB-4400-SS-Rackable-Thumbnail_350x350.jpg?v=1636471671,https://repfitness.com/collections/deals/products/rackable-ez-curl-barbell
Rubber Grip Hex Dumbbell Pairs,$159.99,$29.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-Rubber-Grip_Dumbbells-25_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471669,https://repfitness.com/collections/deals/products/rubber-grip-hex-dumbbell-pairs
Color Bumper Plate Pairs,$179.99,$69.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/BF21Thumbnail_Yellow_BP-3000-55-Thumbnail_979f28f2-0a21-46a5-9daa-8c130dbeba04_350x350.jpg?v=1636397377,https://repfitness.com/collections/deals/products/color-bumper-plate-pairs
Street Parking 3-in-1 Soft Plyo Boxes,$119.99,$107.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-Street-Parking-Plyo_BlackFriday21-Yellow-Thumbnail_350x350.jpg?v=1636471676,https://repfitness.com/collections/deals/products/street-parking-3-in-1-soft-plyo-boxes
V2 Sleeve Battle Rope,$79.99,$71.99,https://cdn.shopify.com/s/files/1/0574/1215/7598/products/Shopify-Battle-Rope-All_BlackFriday21-Cyan-Thumbnail_350x350.jpg?v=1636471669,https://repfitness.com/collections/deals/products/v2-sleeve-battle-rope
