title,regular_price,sale_price,img_url,href
Olympic Hex Weight Bar,$129.99,$119.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw58c95721/images/hi-res/Fitness/430009_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/specialty/olympic-hex-weight-bar/430009.html
Portable Plate And Barbell Storage Tree,$179.99,$164.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw92afb391/images/hi-res/Fitness/401373_01.jpg?sw=261&sh=261,https://www.titan.fitness/organize/freestanding-storage/weight-plates/portable-plate-and-barbell-storage-tree/401373.html
Economy Olympic Barbell,$119.99,$104.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw5acc931d/images/hi-res/Fitness/430085_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/olympic/economy-olympic-barbell/430085.html
Rackable Hex Trap Bar V2,$289.99,$259.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwb90b38fa/images/hi-res/Fitness/430077_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/specialty/rackable-hex-trap-bar-v2/430077.html
Regular Olympic Barbell,$139.99,$119.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwbbe41762/images/hi-res/Fitness/430086_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/olympic/regular-olympic-barbell/430086.html
Multi-Grip Barbell V2,$149.99,$129.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwdf752659/images/hi-res/Fitness/430122_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/specialty/multi-grip-barbell-v2/430122.html
Olympic EZ Curl Barbell,$89.99,$84.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw63f8d49c/images/hi-res/Fitness/430004_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/specialty/olympic-ez-curl-barbell/430004.html
Multi-Grip Camber Bar,$199.99,$169.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw93f1dcbd/images/hi-res/Fitness/430047_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/specialty/multi-grip-camber-bar/430047.html
Midway Olympic Power Bar,$149.99,$129.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw07e9e73f/images/hi-res/Fitness/430087_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/olympic/midway-olympic-power-bar/430087.html
Wall Mounted 4-Peg Olympic Bumper Plate Weight Rack,$54.99,$49.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwb7e9c127/images/hi-res/Fitness/400313_01.jpg?sw=261&sh=261,https://www.titan.fitness/organize/freestanding-storage/weight-plates/wall-mounted-4-peg-olympic-bumper-plate-weight-rack/400313.html
9-Bar Vertical Storage Rack,$99.99,$89.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwaccea8a0/images/hi-res/Fitness/400346_01.jpg?sw=261&sh=261,https://www.titan.fitness/organize/freestanding-storage/barbells%2C-kettlebells%2C-and-dumbbells/9-bar-vertical-storage-rack/400346.html
60-In Olympic Bar – Chrome,$79.99,$69.97,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw26956607/images/hi-res/Fitness/430001.2_01.jpg?sw=261&sh=261,https://www.titan.fitness/strength/barbells/olympic/60-in-olympic-bar-%E2%80%93-chrome/430001.html
